Servicio,Clase,Provincia,Total
ESTADO,Volqueta,LOS RÍOS,31
MUNNICIPIO,Volqueta,IMBABURA,14
ALQUILER,Trailer,PICHINCHA,318
MUNNICIPIO,Camión,SANTO DOMINGO DE LOS TSÁCHILAS,18
PARTICULAR,Camión,GUAYAS,10963
ALQUILER,Tanquero,CAÑAR,7
ESTADO,Camión,MORONA SANTIAGO,2
ESTADO,Camión,LOJA,9
ALQUILER,Camión,ZAMORA CHINCHIPE,44
ALQUILER,Volqueta,SANTA ELENA,1
MUNNICIPIO,Volqueta,SUCUMBÍOS,7
PARTICULAR,Tanquero,COTOPAXI,58
MUNNICIPIO,Volqueta,COTOPAXI,18
PARTICULAR,Camión,SANTA ELENA,245
PARTICULAR,Camión,LOS RÍOS,3470
ALQUILER,Tanquero,ZAMORA CHINCHIPE,2
ALQUILER,Tanquero,PICHINCHA,75
MUNNICIPIO,Volqueta,CARCHI,13
MUNNICIPIO,Tanquero,GUAYAS,21
ESTADO,Volqueta,CAÑAR,7
ALQUILER,Trailer,IMBABURA,61
ALQUILER,Camión,CHIMBORAZO,214
SECTORES SECCIONALES,Volqueta,PASTAZA,4
PARTICULAR,Tanquero,AZUAY,61
ESTADO,Tanquero,CAÑAR,8
MUNNICIPIO,Tanquero,AZUAY,9
MUNNICIPIO,Volqueta,CAÑAR,33
PARTICULAR,Trailer,AZUAY,166
ESTADO,Volqueta,COTOPAXI,22
ALQUILER,Volqueta,SANTO DOMINGO DE LOS TSÁCHILAS,61
ESTADO,Camión,MANABÍ,7
ALQUILER,Volqueta,ORELLANA,32
ALQUILER,Tanquero,LOS RÍOS,9
PARTICULAR,Tanquero,GUAYAS,414
ALQUILER,Trailer,MANABÍ,80
ALQUILER,Camión,MANABÍ,289
ALQUILER,Tanquero,ORELLANA,9
PARTICULAR,Camión,PICHINCHA,8251
ESTADO,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,2
ALQUILER,Volqueta,PASTAZA,42
PARTICULAR,Tanquero,ORELLANA,20
ALQUILER,Tanquero,SANTO DOMINGO DE LOS TSÁCHILAS,39
ESTADO,Volqueta,MORONA SANTIAGO,4
PARTICULAR,Tanquero,CHIMBORAZO,23
MUNNICIPIO,Camión,ORELLANA,7
ESTADO,Tanquero,SUCUMBÍOS,1
ESTADO,Tanquero,AZUAY,3
ESTADO,Tanquero,MORONA SANTIAGO,1
ALQUILER,Tanquero,GUAYAS,71
ESTADO,Camión,AZUAY,3
OTROS,Trailer,ORELLANA,1
PARTICULAR,Trailer,SANTO DOMINGO DE LOS TSÁCHILAS,194
ESTADO,Volqueta,GUAYAS,1
PARTICULAR,Volqueta,ORELLANA,38
MUNNICIPIO,Camión,CHIMBORAZO,15
PARTICULAR,Camión,PASTAZA,154
ALQUILER,Tanquero,EL ORO,13
OTROS,Volqueta,BOLÍVAR,1
PARTICULAR,Trailer,PASTAZA,4
ESTADO,Tanquero,MANABÍ,4
MUNNICIPIO,Camión,BOLÍVAR,2
ALQUILER,Volqueta,CAÑAR,76
MUNNICIPIO,Trailer,GUAYAS,2
PARTICULAR,Camión,AZUAY,3358
PARTICULAR,Tanquero,SUCUMBÍOS,7
OTROS,Trailer,PICHINCHA,2
OTROS,Volqueta,SANTA ELENA,1
PARTICULAR,Volqueta,ESMERALDAS,185
ALQUILER,Volqueta,COTOPAXI,41
MUNNICIPIO,Camión,TUNGURAHUA,14
MUNNICIPIO,Camión,CARCHI,10
OTROS,Volqueta,AZUAY,4
ALQUILER,Trailer,LOS RÍOS,19
MUNNICIPIO,Camión,EL ORO,7
ESTADO,Volqueta,ZAMORA CHINCHIPE,13
